Date,Time,Reading Index,Movement Value
160,2015-02-06,19:44:41.632274,0
161,2015-02-06,19:44:41.932284,1
162,2015-02-06,19:44:42.231080,0
163,2015-02-06,19:44:42.531430,0
164,2015-02-06,19:44:42.831401,1
165,2015-02-06,19:44:43.131818,1
166,2015-02-06,19:44:43.433172,1
167,2015-02-06,19:44:43.733180,0
168,2015-02-06,19:44:44.033419,0
169,2015-02-06,19:44:44.333345,0
170,2015-02-06,19:44:44.632545,0
171,2015-02-06,19:44:44.932700,0
172,2015-02-06,19:44:45.232875,1
173,2015-02-06,19:44:45.533014,0
174,2015-02-06,19:44:45.833346,2
175,2015-02-06,19:44:46.133522,0
176,2015-02-06,19:44:46.433493,2
177,2015-02-06,19:44:46.733330,2
178,2015-02-06,19:44:47.033626,0
179,2015-02-06,19:44:47.333650,1
180,2015-02-06,19:44:47.633915,0
181,2015-02-06,19:44:47.933992,2
182,2015-02-06,19:44:48.234258,1
183,2015-02-06,19:44:48.534350,0
184,2015-02-06,19:44:48.834595,0
185,2015-02-06,19:44:49.134658,0
186,2015-02-06,19:44:49.435166,0
187,2015-02-06,19:44:49.734988,1
188,2015-02-06,19:44:50.034000,2
189,2015-02-06,19:44:50.334065,2
190,2015-02-06,19:44:50.635499,1
191,2015-02-06,19:44:50.935647,0
192,2015-02-06,19:44:51.235922,0
193,2015-02-06,19:44:51.535973,0
194,2015-02-06,19:44:51.836248,0
195,2015-02-06,19:44:52.136295,0
196,2015-02-06,19:44:52.435554,1
197,2015-02-06,19:44:52.735363,0
198,2015-02-06,19:44:53.035630,1
199,2015-02-06,19:44:53.335715,0
200,2015-02-06,19:44:53.635867,0
201,2015-02-06,19:44:53.937293,0
202,2015-02-06,19:44:54.237456,1
203,2015-02-06,19:44:54.537622,1
204,2015-02-06,19:44:54.836696,0
205,2015-02-06,19:44:55.136673,0
206,2015-02-06,19:44:55.436984,0
207,2015-02-06,19:44:55.737017,1
208,2015-02-06,19:44:56.037232,0
209,2015-02-06,19:44:56.337341,0
210,2015-02-06,19:44:56.637521,1
211,2015-02-06,19:44:56.937670,2
212,2015-02-06,19:44:57.237856,2
213,2015-02-06,19:44:57.538005,0
214,2015-02-06,19:44:57.838154,0
215,2015-02-06,19:44:58.138443,1
216,2015-02-06,19:44:58.438528,0
217,2015-02-06,19:44:58.738778,0
218,2015-02-06,19:44:59.038851,0
219,2015-02-06,19:44:59.339128,0
220,2015-02-06,19:44:59.639279,1
221,2015-02-06,19:44:59.939387,0
222,2015-02-06,19:45:00.238385,0
223,2015-02-06,19:45:00.538452,0
224,2015-02-06,19:45:00.838648,0
225,2015-02-06,19:45:01.140263,1
226,2015-02-06,19:45:01.440521,1
227,2015-02-06,19:45:01.740725,0
228,2015-02-06,19:45:02.040795,1
229,2015-02-06,19:45:02.341124,1
230,2015-02-06,19:45:02.639629,2
231,2015-02-06,19:45:02.940136,0
232,2015-02-06,19:45:03.240293,0
233,2015-02-06,19:45:03.540345,0
234,2015-02-06,19:45:03.840556,1
235,2015-02-06,19:45:04.140692,0
236,2015-02-06,19:45:04.442207,0
237,2015-02-06,19:45:04.742425,0
238,2015-02-06,19:45:05.041177,0
239,2015-02-06,19:45:05.341363,1
240,2015-02-06,19:45:05.641489,1
241,2015-02-06,19:45:05.941882,0
242,2015-02-06,19:45:06.242110,2
243,2015-02-06,19:45:06.541994,1
244,2015-02-06,19:45:06.842274,0
245,2015-02-06,19:45:07.142343,0
246,2015-02-06,19:45:07.442606,0
247,2015-02-06,19:45:07.742947,0
248,2015-02-06,19:45:08.043028,1
249,2015-02-06,19:45:08.343229,1
250,2015-02-06,19:45:08.643261,1
251,2015-02-06,19:45:08.943447,1
252,2015-02-06,19:45:09.243622,0
253,2015-02-06,19:45:09.543504,0
254,2015-02-06,19:45:09.843590,2
255,2015-02-06,19:45:10.143752,3
256,2015-02-06,19:45:10.443108,2
257,2015-02-06,19:45:10.743363,0
258,2015-02-06,19:45:11.043431,0
259,2015-02-06,19:45:11.343597,0
260,2015-02-06,19:45:11.644701,0
261,2015-02-06,19:45:11.944825,0
262,2015-02-06,19:45:12.245063,0
263,2015-02-06,19:45:12.545088,0
264,2015-02-06,19:45:12.844004,1
265,2015-02-06,19:45:13.144507,0
266,2015-02-06,19:45:13.444456,1
267,2015-02-06,19:45:13.744498,2
268,2015-02-06,19:45:14.044772,2
269,2015-02-06,19:45:14.344854,0
270,2015-02-06,19:45:14.645101,1
271,2015-02-06,19:45:14.945152,1
272,2015-02-06,19:45:15.245450,1
273,2015-02-06,19:45:15.545511,1
274,2015-02-06,19:45:15.845685,0
275,2015-02-06,19:45:16.145817,0
276,2015-02-06,19:45:16.446084,1
277,2015-02-06,19:45:16.746159,0
278,2015-02-06,19:45:17.046664,1
279,2015-02-06,19:45:17.346490,1
280,2015-02-06,19:45:17.647077,1
281,2015-02-06,19:45:17.946820,0
282,2015-02-06,19:45:18.245845,1
283,2015-02-06,19:45:18.547173,1
284,2015-02-06,19:45:18.847327,1
285,2015-02-06,19:45:19.147483,1
286,2015-02-06,19:45:19.447739,2
287,2015-02-06,19:45:19.747820,3
288,2015-02-06,19:45:20.048081,1
289,2015-02-06,19:45:20.348152,0
290,2015-02-06,19:45:20.647165,1
291,2015-02-06,19:45:20.947190,0
292,2015-02-06,19:45:21.247485,1
293,2015-02-06,19:45:21.547531,1
294,2015-02-06,19:45:21.847827,0
295,2015-02-06,19:45:22.149103,0
296,2015-02-06,19:45:22.449311,0
297,2015-02-06,19:45:22.749435,1
298,2015-02-06,19:45:23.048407,1
299,2015-02-06,19:45:23.348522,0
300,2015-02-06,19:45:23.648795,1
301,2015-02-06,19:45:23.948839,1
302,2015-02-06,19:45:24.249076,1
303,2015-02-06,19:45:24.549178,0
304,2015-02-06,19:45:24.849331,1
305,2015-02-06,19:45:25.149483,1
306,2015-02-06,19:45:25.449668,0
307,2015-02-06,19:45:25.750223,2
308,2015-02-06,19:45:26.050289,1
309,2015-02-06,19:45:26.350417,0
310,2015-02-06,19:45:26.650593,0
311,2015-02-06,19:45:26.950691,0
312,2015-02-06,19:45:27.250934,0
313,2015-02-06,19:45:27.551094,0
314,2015-02-06,19:45:27.851192,1
315,2015-02-06,19:45:28.151354,0
316,2015-02-06,19:45:28.450246,1
317,2015-02-06,19:45:28.750616,2
318,2015-02-06,19:45:29.052126,0
319,2015-02-06,19:45:29.352386,1
320,2015-02-06,19:45:29.652132,0
321,2015-02-06,19:45:29.952444,0
322,2015-02-06,19:45:30.252634,1
323,2015-02-06,19:45:30.553009,0
324,2015-02-06,19:45:30.851778,2
325,2015-02-06,19:45:31.152015,1
326,2015-02-06,19:45:31.452236,1
327,2015-02-06,19:45:31.752287,1
328,2015-02-06,19:45:32.052549,0
329,2015-02-06,19:45:32.352957,2
330,2015-02-06,19:45:32.653688,1
331,2015-02-06,19:45:32.954131,1
332,2015-02-06,19:45:33.253215,1
333,2015-02-06,19:45:33.553372,2
334,2015-02-06,19:45:33.853326,1
335,2015-02-06,19:45:34.153616,0
336,2015-02-06,19:45:34.453448,1
337,2015-02-06,19:45:34.753627,0
338,2015-02-06,19:45:35.053766,0
339,2015-02-06,19:45:35.354503,0
340,2015-02-06,19:45:35.654100,2
341,2015-02-06,19:45:35.954369,1
342,2015-02-06,19:45:36.254436,1
343,2015-02-06,19:45:36.554725,2
344,2015-02-06,19:45:36.854752,1
345,2015-02-06,19:45:37.155018,2
346,2015-02-06,19:45:37.455097,2
347,2015-02-06,19:45:37.755275,0
348,2015-02-06,19:45:38.055427,1
349,2015-02-06,19:45:38.355611,0
350,2015-02-06,19:45:38.654508,0
351,2015-02-06,19:45:38.955000,0
352,2015-02-06,19:45:39.254850,1
353,2015-02-06,19:45:39.556256,0
354,2015-02-06,19:45:39.856540,0
355,2015-02-06,19:45:40.156689,0
356,2015-02-06,19:45:40.458355,0
357,2015-02-06,19:45:40.756933,1
358,2015-02-06,19:45:41.055904,1
359,2015-02-06,19:45:41.356068,0
360,2015-02-06,19:45:41.656271,1
361,2015-02-06,19:45:41.956321,0
362,2015-02-06,19:45:42.256633,0
363,2015-02-06,19:45:42.556681,0
364,2015-02-06,19:45:42.856934,1
365,2015-02-06,19:45:43.158232,2
366,2015-02-06,19:45:43.457312,0
367,2015-02-06,19:45:43.757337,0
368,2015-02-06,19:45:44.057514,0
369,2015-02-06,19:45:44.357679,0
370,2015-02-06,19:45:44.657912,0
371,2015-02-06,19:45:44.958099,2
372,2015-02-06,19:45:45.258480,1
373,2015-02-06,19:45:45.558333,1
374,2015-02-06,19:45:45.858820,2
375,2015-02-06,19:45:46.158746,0
376,2015-02-06,19:45:46.457701,0
377,2015-02-06,19:45:46.758988,0
378,2015-02-06,19:45:47.059219,2
379,2015-02-06,19:45:47.359326,1
380,2015-02-06,19:45:47.659576,1
381,2015-02-06,19:45:47.959635,2
382,2015-02-06,19:45:48.260266,0
383,2015-02-06,19:45:48.560121,0
384,2015-02-06,19:45:48.858988,0
385,2015-02-06,19:45:49.159037,0
386,2015-02-06,19:45:49.459353,1
387,2015-02-06,19:45:49.759360,2
388,2015-02-06,19:45:50.059541,1
389,2015-02-06,19:45:50.361105,2
390,2015-02-06,19:45:50.661489,1
391,2015-02-06,19:45:50.961671,0
392,2015-02-06,19:45:51.260591,2
393,2015-02-06,19:45:51.560477,2
394,2015-02-06,19:45:51.860919,1
395,2015-02-06,19:45:52.160796,1
396,2015-02-06,19:45:52.461153,1
397,2015-02-06,19:45:52.761200,1
398,2015-02-06,19:45:53.061612,1
399,2015-02-06,19:45:53.361734,0
400,2015-02-06,19:45:53.661965,1
401,2015-02-06,19:45:53.961830,1
402,2015-02-06,19:45:54.262286,3
403,2015-02-06,19:45:54.562253,1
404,2015-02-06,19:45:54.862624,6
405,2015-02-06,19:45:55.162580,0
406,2015-02-06,19:45:55.462971,0
407,2015-02-06,19:45:55.763066,0
408,2015-02-06,19:45:56.063108,1
409,2015-02-06,19:45:56.363162,1
410,2015-02-06,19:45:56.662279,1
411,2015-02-06,19:45:56.962234,0
412,2015-02-06,19:45:57.263529,0
413,2015-02-06,19:45:57.563972,1
414,2015-02-06,19:45:57.863836,1
415,2015-02-06,19:45:58.164135,1
416,2015-02-06,19:45:58.464216,1
417,2015-02-06,19:45:58.764687,0
418,2015-02-06,19:45:59.063556,1
419,2015-02-06,19:45:59.363559,0
420,2015-02-06,19:45:59.663601,1
421,2015-02-06,19:45:59.963847,1
422,2015-02-06,19:46:00.263949,0
423,2015-02-06,19:46:00.564443,0
424,2015-02-06,19:46:00.865511,0
425,2015-02-06,19:46:01.165965,0
426,2015-02-06,19:46:01.464635,1
427,2015-02-06,19:46:01.765119,0
428,2015-02-06,19:46:02.064928,0
429,2015-02-06,19:46:02.365326,1
430,2015-02-06,19:46:02.665267,1
431,2015-02-06,19:46:02.965769,0
432,2015-02-06,19:46:03.265625,0
433,2015-02-06,19:46:03.566094,0
434,2015-02-06,19:46:03.865931,0
435,2015-02-06,19:46:04.166210,0
436,2015-02-06,19:46:04.466289,1
437,2015-02-06,19:46:04.766535,1
438,2015-02-06,19:46:05.066586,0
439,2015-02-06,19:46:05.366848,0
440,2015-02-06,19:46:05.666920,2
441,2015-02-06,19:46:05.967096,3
442,2015-02-06,19:46:06.267262,1
443,2015-02-06,19:46:06.567443,0
444,2015-02-06,19:46:06.866342,0
445,2015-02-06,19:46:07.166719,0
446,2015-02-06,19:46:07.466695,0
447,2015-02-06,19:46:07.768082,1
448,2015-02-06,19:46:08.068351,0
449,2015-02-06,19:46:08.368759,1
450,2015-02-06,19:46:08.668697,0
451,2015-02-06,19:46:08.968758,1
452,2015-02-06,19:46:09.267670,1
453,2015-02-06,19:46:09.567858,1
454,2015-02-06,19:46:09.868081,0
455,2015-02-06,19:46:10.168152,1
456,2015-02-06,19:46:10.468476,1
457,2015-02-06,19:46:10.768495,0
458,2015-02-06,19:46:11.068772,2
459,2015-02-06,19:46:11.370219,1
460,2015-02-06,19:46:11.669097,0
461,2015-02-06,19:46:11.969499,0
462,2015-02-06,19:46:12.269346,1
463,2015-02-06,19:46:12.569488,0
464,2015-02-06,19:46:12.869738,0
465,2015-02-06,19:46:13.170071,1
466,2015-02-06,19:46:13.470421,1
467,2015-02-06,19:46:13.770421,0
468,2015-02-06,19:46:14.070821,1
469,2015-02-06,19:46:14.370631,0
470,2015-02-06,19:46:14.670896,1
471,2015-02-06,19:46:14.970925,0
472,2015-02-06,19:46:15.271224,2
473,2015-02-06,19:46:15.571493,0
474,2015-02-06,19:46:15.871836,0
475,2015-02-06,19:46:16.171831,0
476,2015-02-06,19:46:16.472073,5
477,2015-02-06,19:46:16.772134,5
478,2015-02-06,19:46:17.071049,5
479,2015-02-06,19:46:17.371018,1
480,2015-02-06,19:46:17.671463,0
481,2015-02-06,19:46:17.971335,1
482,2015-02-06,19:46:18.273072,8
483,2015-02-06,19:46:18.573156,4
484,2015-02-06,19:46:18.873206,0
485,2015-02-06,19:46:19.173240,3
486,2015-02-06,19:46:19.472547,2
487,2015-02-06,19:46:19.772471,3
488,2015-02-06,19:46:20.072763,2
489,2015-02-06,19:46:20.372655,1
490,2015-02-06,19:46:20.672988,0
491,2015-02-06,19:46:20.973217,0
492,2015-02-06,19:46:21.273287,4
493,2015-02-06,19:46:21.573233,2
494,2015-02-06,19:46:21.873331,0
495,2015-02-06,19:46:22.173508,0
496,2015-02-06,19:46:22.473681,0
497,2015-02-06,19:46:22.773957,0
498,2015-02-06,19:46:23.074002,1
499,2015-02-06,19:46:23.374300,0
500,2015-02-06,19:46:23.674328,0
501,2015-02-06,19:46:23.974557,0
502,2015-02-06,19:46:24.274681,1
503,2015-02-06,19:46:24.574885,2
504,2015-02-06,19:46:24.873776,0
